day	hour	value
1	1	14
1	2	0
1	3	9
1	4	4
1	5	9
1	6	8
1	7	14
1	8	4
1	9	3
1	10	1
1	11	4
1	12	16
1	13	22
1	14	4
1	15	21
1	16	14
1	17	20
1	18	16
1	19	9
1	20	17
1	21	19
1	22	12
1	23	13
1	24	10
2	1	0
2	2	7
2	3	10
2	4	2
2	5	1
2	6	0
2	7	5
2	8	9
2	9	9
2	10	7
2	11	2
2	12	4
2	13	10
2	14	11
2	15	25
2	16	3
2	17	14
2	18	11
2	19	87
2	20	87
2	21	38
2	22	36
2	23	36
2	24	18
3	1	27
3	2	29
3	3	23
3	4	9
3	5	2
3	6	9
3	7	9
3	8	4
3	9	27
3	10	5
3	11	0
3	12	15
3	13	14
3	14	20
3	15	36
3	16	19
3	17	13
3	18	10
3	19	24
3	20	13
3	21	34
3	22	13
3	23	25
3	24	32
4	1	18
4	2	0
4	3	8
4	4	0
4	5	10
4	6	3
4	7	4
4	8	1
4	9	15
4	10	3
4	11	4
4	12	0
4	13	17
4	14	17
4	15	13
4	16	18
4	17	31
4	18	18
4	19	22
4	20	22
4	21	10
4	22	16
4	23	29
4	24	11
5	1	0
5	2	4
5	3	2
5	4	9
5	5	5
5	6	7
5	7	3
5	8	0
5	9	3
5	10	7
5	11	5
5	12	8
5	13	7
5	14	6
5	15	26
5	16	4
5	17	1
5	18	11
5	19	21
5	20	5
5	21	3
5	22	11
5	23	10
5	24	3
6	1	1
6	2	1
6	3	2
6	4	9
6	5	0
6	6	2
6	7	16
6	8	7
6	9	7
6	10	2
6	11	3
6	12	1
6	13	3
6	14	1
6	15	3
6	16	12
6	17	6
6	18	4
6	19	10
6	20	6
6	21	7
6	22	2
6	23	7
6	24	14
7	1	8
7	2	14
7	3	2
7	4	15
7	5	2
7	6	6
7	7	2
7	8	3
7	9	4
7	10	5
7	11	3
7	12	7
7	13	4
7	14	3
7	15	5
7	16	8
7	17	5
7	18	3
7	19	3
7	20	2
7	21	6
7	22	8
7	23	15
7	24	4
